Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Amazonas;Pauini;CARTÓRIO DO 1º OFÍCIO DE PAUINÍ;Certidão de Protesto;E-mail;100
Amazonas;Presidente Figueiredo;TABELIONATO DE NOTAS E REGISTROS PÚBLICOS;Certidão de Protesto;E-mail;100
Amazonas;Rio Preto da Eva;CARTORIO EXTRAJUDICIAL - OFÍCIO ÚNICO - DE RIO PRETO DA EVA;Certidão de Protesto;E-mail;100
Amazonas;Santa Isabel do Rio Negro; CARTORIO EXTRAJUDICIAL DA COMARCA DE SANTA ISABEL DO RIO NEGRO;Certidão de Protesto;E-mail;100
Amazonas;Santo Antônio do Içá;CARTORIO 1º OFICIO DE SANTO ANTONIO DO IÇÁ;Certidão de Protesto;E-mail;100
Amazonas;São Gabriel da Cachoeira;CARTÓRIO EXTRAJUDICIAL DE SÃO GABRIEL DA CACHOEIRA;Certidão de Protesto;E-mail;100
Amazonas;São Paulo de Olivença;Cartório Extrajudicial da Comarca de São Paulo de Olivença;Certidão de Protesto;E-mail;100
Amazonas;São Sebastião do Uatumã;CARTÓRIO EXTRAJUDICIAL DA COMARCA DE SÃO SEBASTIÃO DO UATUMÃ;Certidão de Protesto;E-mail;100
Amazonas;Silves;CARTORIO DE REGISTRO CIVIL DE LETRAS CERTIDOES E NOTAS;Certidão de Protesto;E-mail;100
Amazonas;Tabatinga;CARTORIO DA 2 VARA DA COMARCA DE TABATINGA;Certidão de Protesto;E-mail;100
Amazonas;Tapauá;CARTORIO DA COMARCA DE TAPAUA;Certidão de Protesto;E-mail;100
Amazonas;Tefé;CARTÓRIO DO 2° OFÍCIO DE TEFE;Certidão de Protesto;E-mail;100
Amazonas;Uarini;CARTÓRIO EXTRAJUDICIAL DE UARINI;Certidão de Protesto;E-mail;100
Amazonas;Urucará;CARTORIO 1º OFICIO DE URUCARA;Certidão de Protesto;E-mail;100
Amazonas;Urucurituba;CARTORIO 1º OFICIO DE URUCURITUBA;Certidão de Protesto;E-mail;100
