Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Mato Grosso do Sul;Jardim;1 SERVICO NOTARIAL E DE REGISTRO DE IMOVEIS, TITULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURIDICAS E TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Maracaju;MARACAJU - 1 SERVIÇO NOTARIAL E TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Miranda;MIRANDA - SERVIÇO DE REGISTRO DE IMOVEIS, TITULOS E DOCUMENTOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Mundo Novo;CARTORIO DE NOTAS E PROTESTOS DE MUNDO NOVO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Navirai;NAVIRAI - 1º TABELIONATO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Nioaque;Serviço Notarial e de Protesto de Títulos e Outros Documentos de Dívida de Nioaque;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Nova Alvorada do Sul;NOVA ALVORADA DO SUL - SERVIÇO DE REGISTRO DE IMOVEIS, DE TITULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURIDICAS E TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Nova Andradina;SERVICO NOTARIAL E DE TABELIONATO DE PROTESTO DE TITULOS E OUTROS DOCUMENTOS DE DIVIDAS DA;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Paranaíba;PARANAIBA - 3° TABELIONATO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Pedro Gomes;SERVIÇO NOTARIAL E TABELIONATO DE PROTESTO DE TÍTULOS E OUTROS DOCUMENTOS DE DÍVIDA;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Ponta Porã;3 CARTORIO DE NOTAS E PROTESTO DE PONTA PORA;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Porto Murtinho;TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Ribas do Rio Pardo;RIBAS DO RIO PARDO - 1° SERVIÇO REGISTRAL E TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Rio Brilhante;Tabelionato de Protesto de Títulos e Outros documentos de dívida;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Rio Negro;SERVICO NOTARIAL E TABELIONATO DE PROTESTO DE TITULO E OUTROS DOCUMENTOS DE DIVIDA DA COMARCADE RIO NEGRO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Rio Verde de Mato Grosso;CARTORIO ADELSON LUIZ CORREIA;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;São Gabriel do Oeste;SÃO GABRIEL DO OSTE - 1 OFICIO DE REGISTROS PUBLICOS E PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Sete Quedas;SETE QUEDAS - 1º OFÍCIO DE REGISTRO PUBLICO E PROTESTO DE TÍTULOS CAMBIAIS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Sidrolândia;SERVIÇO DE REGISTRO DE IMÓVEIS, TIT. E DOC E PESS. JURÍDICAS E TABELIONATO DE PROTESTO;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Sonora;TABELIONATO DE SONORA 57309341000160;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Terenos;TERENOS - SERVIÇO NOTARIAL E TABELIONATO DE PROTESTO DE TÍTULOS DE TERENOS;Certidão de Protesto;E-mail;100
Mato Grosso do Sul;Três Lagoas;TRÊS LAGOAS - TERCEIRO SERVIÇO NOTARIAL E REGISTRAL DE PROTESTO;Certidão de Protesto;E-mail;100
