Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Rio Grande do Sul;Candelária;Cartório de Registros Públicos;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cândido Godói;TABELIONATO DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Candiota;SERVIÇO NOTARIAL E REGISTRAL DE CANDIOTA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Canela;REGISTROS PÚBLICOS E TABELIONATO DE PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Canguçu;TABELIONATO DE NOTAS, PROTESTOS E OFÍCIO DOS REGISTROS ESPECIAIS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Canoas;Tabelionato de Protestos e Registro Especias de Canoas;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Capão da Canoa;Serviços de Registros Públicos de Capão da Canoa;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Capão do Leão;SERVIÇO NOTARIAL E REGISTRAL DE CAPÃO DO LEÃO;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Capela de Santana;TABELIONATO DE PROTESTOS CAPELA DE SANTANA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Carazinho;TABELIONATO DE PROTESTO DE TITULOS, REGISTRO DE TITULOS E DOCUMENTOS E PESSOAS JURIDICAS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Carlos Barbosa;Ofício de Registros e Tabelionato de Protestos;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Casca;Tabelionato de Notas e Protestos de Casca;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Caseiros;SERVIÇO NOTARIAL E REGISTRAL;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Catuípe;REGISTROS PÚBLICOS DE CATUÍPE;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Caxias do Sul;TABELIONATO DE PROTESTOS DE CAXIAS DO SUL;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cerro Branco;SERVIÇO NOTARIAL E REGISTRAL DE CERRO BRANCO;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cerro Grande do Sul;SERVIÇOS NOTARIAIS E DE REGISTRO DE CERRO GRANDE DO SUL;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cerro Largo;TABELIONATO DE PROTESTO DE CERRO LARGO;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Chapada;TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Charqueadas;CARTÓRIO PELLEGRINI;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Charrua;SERVICO NOTARIAL E REGISTRAL DE CHARRUA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Chiapetta;TABELIONATO DE NOTAS E PROTESTO;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Cidreira;TABELIONATO DE CIDREIRA;Certidão de Protesto;E-mail;100
Rio Grande do Sul;Ciríaco;TABELIONATO DE NOTAS E PROTESTO DE CIRIACO;Certidão de Protesto;E-mail;100
