Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Maranhão;Centro Novo do Maranhão;SERVENTIA EXTRAJUDICIAL DE OFICIO UNICO;Certidão de Protesto;E-mail;100
Maranhão;Chapadinha;1º OFÍCIO EXTRAJUDICIAL DE CHAPADINHA;Certidão de Protesto;E-mail;100
Maranhão;Cidelândia;SERVENTIA EXTRAJUDICIAL DE OFICIO UNICO;Certidão de Protesto;E-mail;100
Maranhão;Codó;3º OFICIO EXTRAJUDICIAL;Certidão de Protesto;E-mail;100
Maranhão;Coelho Neto;PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Maranhão;Colinas;1º OFÍCIO EXTRAJUDICIAL DE COLINAS;Certidão de Protesto;E-mail;100
Maranhão;Conceição do Lago-Açu;SERVENTIA EXTRAJUDICIAL DE CONCEIÇÃO DO LAGO AÇU;Certidão de Protesto;E-mail;100
Maranhão;Coroatá;CARTORIO 3 OFICIO DE COROATA;Certidão de Protesto;E-mail;100
Maranhão;Cururupu;CARTÓRIO DO 1º OFICIO EXTRAJUDICIAL DE CURURUPU (RESPONDENDO);Certidão de Protesto;E-mail;100
Maranhão;Davinópolis;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE DAVINOPOLIS;Certidão de Protesto;E-mail;100
Maranhão;Dom Pedro;CARTÓRIO DO 1º OFICIO EXTRA JUDICIAL;Certidão de Protesto;E-mail;100
Maranhão;Duque Bacelar;SERVENTIA EXTRAJUDICIAL DE DUQUE BACELAR;Certidão de Protesto;E-mail;100
Maranhão;Esperantinópolis;SERVENTIA EXTRAJUDICIAL DO OFICIO UNICO DE ESPERANTINOPOLIS;Certidão de Protesto;E-mail;100
Maranhão;Estreito;CARTÓRIO DO 1º OFÍCIO;Certidão de Protesto;E-mail;100
Maranhão;Feira Nova do Maranhão;OFICIO UNICO DE REGISTRO DE IMOVEIS E TABELIONATO DE NOTAS;Certidão de Protesto;E-mail;100
Maranhão;Fernando Falcão;SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE FERNANDO FALCÃO;Certidão de Protesto;E-mail;100
Maranhão;Formosa da Serra Negra;FORMOSA DA S N CARTORIO OFICIO UNICO;Certidão de Protesto;E-mail;100
Maranhão;Fortaleza dos Nogueiras;OFICIO ÚNICO DE FORTALEZA DOS NOGUEIRAS;Certidão de Protesto;E-mail;100
Maranhão;Fortuna;CARTÓRIO DIOGO VIANA;Certidão de Protesto;E-mail;100
Maranhão;Godofredo Viana;SERVENTIA EXTRAJUDICIAL DE GODOFREDO VIANA;Certidão de Protesto;E-mail;100
Maranhão;Gonçalves Dias;CARTÓRIO DO OFÍCIO ÚNICO EXTRAJUDICIAL;Certidão de Protesto;E-mail;100
Maranhão;Governador Archer;CARTÓRIO OFÍCIO ÚNICO DE GOVERNADOR ARCHER;Certidão de Protesto;E-mail;100
Maranhão;Governador Edison Lobão;SERVENTIA EXTRAJUDICIAL OFÍCIO ÚNICO;Certidão de Protesto;E-mail;100
Maranhão;Governador Eugênio Barros;1º OFÍCIO;Certidão de Protesto;E-mail;100
Maranhão;Governador Luiz Rocha;OFICIO UNICO DE GOVERNADOR LUIZ ROCHA;Certidão de Protesto;E-mail;100
Maranhão;Governador Newton Bello;SERVENTIA EXTRAJUDICIAL DE GOVERNADOR NEWTON BELLO;Certidão de Protesto;E-mail;100
