Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Espirito Santo;Marechal Floriano;Cartório do 1º Ofício Registro Geral de Imóveis, Tabelionato de Protesto de Títulos e Documentos, Registro de Títulos e Documentos e Civis das Pessoas Jurídicas da Comarca de Marechal Floriano;Certidão de Protesto;E-mail;100
Espirito Santo;Marilândia;MARILANDIA CARTORIO DO 1 OFICIO;Certidão de Protesto;E-mail;100
Espirito Santo;Mimoso do Sul;CARTÓRIO DO 1º OFÍCIO DA COMARCA DE MIMOSO DO SUL;Certidão de Protesto;E-mail;100
Espirito Santo;Montanha;CARTORIO DO 1º OFICIO DE MONTANHA;Certidão de Protesto;E-mail;100
Espirito Santo;Mucurici;CARTORIO 1º OFICIO;Certidão de Protesto;E-mail;100
Espirito Santo;Muniz Freire;CARTORIO DO 1º OFICIO ;Certidão de Protesto;E-mail;100
Espirito Santo;Muqui;TABELIONATO DE PROTESTOS DE MUQUI;Certidão de Protesto;E-mail;100
Espirito Santo;Nova Venécia;Tabelionato de Protesto de Nova Venécia;Certidão de Protesto;E-mail;100
Espirito Santo;Pancas;CARTORIO DO 1º OFICIO DE PANCAS;Certidão de Protesto;E-mail;100
Espirito Santo;Pedro Canário;CARTÓRIO DE PROTESTO DE TÍTULOS E DOCUMENTOS;Certidão de Protesto;E-mail;100
Espirito Santo;Pinheiros;CARTORIO DO 1º OFICIO COMARCA DE PINHEIROS;Certidão de Protesto;E-mail;100
Espirito Santo;Piúma;1º OFÍCIO DO REGISTRO DE IMÓVEIS E ANEXOS;Certidão de Protesto;E-mail;100
Espirito Santo;Presidente Kennedy;Cartório de 1º Oficio Reg. Geral de Imóveis e Anexos da Comarca de Presidente Kennedy;Certidão de Protesto;E-mail;100
Espirito Santo;Rio Bananal;CARTÓRIO DO 1º OFÍCIO DE RIO BANANAL;Certidão de Protesto;E-mail;100
Espirito Santo;Rio Novo do Sul;Cartório do 1º Oficio Registro Geral de Imóveis, Protesto de Títulos, Registro de Títulos e Documentos e Civil das Pessoas Jurídicas da Comarca de Rio Novo do Sul;Certidão de Protesto;E-mail;100
Espirito Santo;Santa Leopoldina;CARTORIO DO PRIMEIRO OFICIO DA COMARCA DE SANTA LEOPOLDINA;Certidão de Protesto;E-mail;100
Espirito Santo;Santa Maria Jetiba;CARTÓRIO DO 1º OFÍCIO REGISTRO GERAL DE IMÓVEIS E ANEXOS DA COMARCA DE SANTA MARIA DE JETIBA;Certidão de Protesto;E-mail;100
Espirito Santo;Santa Teresa;Cartório de Protesto de Títulos e Tabelionado de Notas da Comarca de Santa Teresa;Certidão de Protesto;E-mail;100
Espirito Santo;São Domingos do Norte;1º OFÍCIO DE SÃO DOMINGOS DO NORTE;Certidão de Protesto;E-mail;100
Espirito Santo;São Gabriel da Palha;1º Ofício de Registros e Protestos de São Gabriel da Palha;Certidão de Protesto;E-mail;100
Espirito Santo;São José do Calçado;Cartório 1º Ofício - Serviço Notarial e Registral - Heber Fonseca;Certidão de Protesto;E-mail;100
Espirito Santo;São Mateus;1º OFÍCIO DE REGISTRO DE IMÓVEIS, TÍT. E DOCUMENTOS, PESSOAS JURÍDICAS E TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Espirito Santo;Serra;1º TABELIONATO DE PROTESTO, OFÍCIO DE REG. DE IMÓVEIS, TÍTULOS E DOC. E CIVIL DE PESSOAS JURÍDICAS - 2ª ZONA;Certidão de Protesto;E-mail;100
Espirito Santo;Serra;CARTÓRIO DO 1º OFÍCIO DA 1ª ZONA DA SERRA;Certidão de Protesto;E-mail;100
Espirito Santo;Vargem Alta;1º OFÍCIO DO REGISTRO DE IMÓVEIS, TÍT. E DOCUMENTOS, CIVIL DE PESSOAS JURÍDICAS E TABELIONATO DE PROTESTOS;Certidão de Protesto;E-mail;100
Espirito Santo;Venda Nova do Imigrante;Venda Nova do Imigrante Cartório do 1º Ofício;Certidão de Protesto;E-mail;100
Espirito Santo;Viana;Viana Cartório do 1º Oficio;Certidão de Protesto;E-mail;100
Espirito Santo;Vila Velha; 1º OFÍCIO 2ª ZONA DE VILA VELHA;Certidão de Protesto;E-mail;100
Espirito Santo;Vila Velha;VILA VELHA 1º OFICIO 1ª ZONA;Certidão de Protesto;E-mail;100
Espirito Santo;Vitória;Cartório de Protesto de Titulos e Outros Documentos de Dividas da Comarca de Vitória;Certidão de Protesto;E-mail;100
